Object
30
 -100000 Global Angle eric_raheem_head:eric_raheem_head -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_l_ankle:eric_raheem_l_ankle -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_l_elbow:eric_raheem_l_elbow -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_l_knee_fixed:eric_raheem_l_knee_fixed -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_l_wrist:eric_raheem_l_wrist -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_mid_back:eric_raheem_mid_back -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_mid_front:eric_raheem_mid_front -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_r_ankle:eric_raheem_r_ankle -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_r_elbow:eric_raheem_r_elbow -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_r_knee_fixed:eric_raheem_r_knee_fixed -100000 -100000 -100000 -100000 -100000 Global Angle eric_raheem_r_wrist:eric_raheem_r_wrist -100000 -100000 -100000 -100000 -100000 -100000
Frame Sub Frame RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY TZ RX RY RZ TX TY T
 -100000 rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm mm rad rad rad mm mm m
11 0 -0.372028 1.28594 1.63989 1387.14 193.602 1304.01 -0.250934 0.01809 2.32306 1181.07 -161.223 161.533 -0.111156 -1.72886 -0.280726 1129.46 -25.0513 975.544 0.208118 -0.434717 1.86101 1216.51 -33.9431 577.711 -0.847109 0.00905227 -0.054198 1267.66 -1.87828 794.29 -0.18597 0.309153 1.96893 1307.63 -336.469 1068.69 -0.34836 0.616758 1.94163 1372.65 -122.19 927.906 0.261233 -0.0513621 1.49862 1547.25 -233.505 135.87 0.665701 2.20806 1.74781 1624.81 -159.926 1095.41 0.231878 -0.179278 1.83675 1548.04 -159.502 569.597 1.69087 1.21939 2.34647 1598.4 -86.2073 825.30
12 0 -0.372359 1.28473 1.63991 1387.97 193.398 1303.42 -0.25821 0.0207137 2.32468 1183.85 -164.205 161.093 -0.107149 -1.72443 -0.278825 1130.19 -25.3996 975.022 0.204578 -0.436298 1.86226 1217.43 -35.3938 577.007 -0.849266 0.00956653 -0.0522638 1268.18 -2.48488 793.6 -0.186849 0.309462 1.96788 1307.88 -337.064 1068.78 -0.349762 0.617595 1.94072 1373.02 -122.98 927.777 0.26287 -0.0517044 1.49509 1547.43 -233.847 135.953 0.666578 2.20537 1.74767 1625.17 -160.442 1094.64 0.23106 -0.177408 1.83621 1548.56 -160.264 569.685 1.68282 1.21905 2.34588 1599.7 -87.1462 824.13
13 0 -0.372932 1.28268 1.64026 1388.81 193.21 1302.77 -0.263379 0.0210912 2.32758 1186.58 -167.161 160.552 -0.10701 -1.72383 -0.273643 1130.86 -25.8605 974.529 0.201497 -0.43679 1.86359 1218.34 -36.8915 576.307 -0.852222 0.0098301 -0.050437 1268.7 -3.10382 792.899 -0.188564 0.311877 1.96642 1308.15 -337.691 1068.85 -0.349099 0.618461 1.9394 1373.34 -123.785 927.6 0.264244 -0.0466199 1.49708 1547.94 -234.088 136.236 0.66704 2.20377 1.74794 1625.51 -160.959 1093.85 0.23111 -0.178312 1.83691 1549.18 -160.907 569.826 1.67576 1.21952 2.34518 1600.99 -88.0937 822.94
14 0 -0.371243 1.28219 1.63929 1389.53 193.06 1302.11 -0.268745 0.0222215 2.33138 1189.18 -169.987 159.949 -0.107269 -1.72674 -0.266749 1131.55 -26.3408 974.089 0.196416 -0.437954 1.86363 1219.28 -38.361 575.516 -0.853961 0.00994119 -0.0480255 1269.2 -3.71014 792.141 -0.190205 0.312794 1.96547 1308.38 -338.309 1068.92 -0.350938 0.621478 1.93745 1373.69 -124.573 927.408 0.258979 -0.059348 1.4818 1548.01 -234.698 136.416 0.668822 2.20218 1.74814 1625.8 -161.476 1093.04 0.231736 -0.17994 1.83547 1549.8 -161.605 569.965 1.66613 1.21823 2.3438 1602.44 -89.0429 821.71
15 0 -0.372746 1.28255 1.63892 1390.17 192.717 1301.29 -0.274318 0.0221547 2.33556 1191.68 -172.7 159.232 -0.105285 -1.72519 -0.265021 1132.2 -26.7751 973.518 0.199257 -0.437848 1.86553 1220.33 -40.0197 574.499 -0.856585 0.0102226 -0.0468624 1269.63 -4.30124 791.381 -0.192205 0.314708 1.96429 1308.63 -338.923 1068.99 -0.351197 0.622138 1.93663 1374.02 -125.371 927.214 0.267662 -0.0504888 1.48515 1548.19 -234.759 136.269 0.659525 2.20134 1.74798 1626.21 -161.97 1092.25 0.231047 -0.179388 1.83551 1550.48 -162.227 570.127 1.65905 1.21884 2.34284 1603.76 -89.9805 820.50
16 0 -0.37146 1.28186 1.63856 1390.92 192.561 1300.6 -0.277145 0.0220664 2.33839 1193.96 -175.192 158.415 -0.106275 -1.72553 -0.260307 1132.85 -27.1863 972.994 0.194252 -0.436242 1.86545 1221.3 -41.6331 573.56 -0.85909 0.0111973 -0.0454336 1270.12 -4.88741 790.598 -0.193863 0.316379 1.96185 1308.77 -339.506 1069.04 -0.352007 0.624364 1.93373 1374.35 -126.168 927.01 0.269328 -0.0495541 1.48165 1548.43 -235.046 136.365 0.672943 2.19791 1.7487 1626.33 -162.494 1091.35 0.234185 -0.182614 1.83267 1551.23 -162.845 570.269 1.65183 1.21818 2.34188 1605.05 -90.9287 819.26
17 0 -0.372815 1.28298 1.63779 1391.54 192.178 1299.72 -0.28063 0.0221051 2.34246 1196.2 -177.542 157.518 -0.108115 -1.72629 -0.254641 1133.47 -27.6028 972.464 0.178731 -0.441225 1.87169 1221.71 -43.4084 573.049 -0.861083 0.0114228 -0.0425006 1270.58 -5.46987 789.763 -0.195522 0.317673 1.96054 1308.91 -340.113 1069.07 -0.353281 0.62593 1.93161 1374.69 -127.01 926.785 0.258978 -0.0576306 1.47169 1548.76 -235.476 136.82 0.673955 2.19613 1.74892 1626.59 -162.987 1090.49 0.234219 -0.184081 1.83124 1552.02 -163.404 570.46 1.64491 1.21778 2.34051 1606.35 -91.8802 818.0
18 0 -0.37321 1.28245 1.63794 1392.19 191.923 1298.93 -0.280278 0.0199714 2.3472 1198.29 -179.753 156.462 -0.108432 -1.72556 -0.250945 1134.04 -27.9969 971.836 0.173729 -0.439957 1.87368 1222.63 -45.0998 572.09 -0.864877 0.011606 -0.0413563 1271.05 -6.07791 788.941 -0.196546 0.31869 1.95882 1309.01 -340.701 1069.07 -0.354083 0.627647 1.92921 1375.02 -127.817 926.547 0.259303 -0.0563919 1.46857 1549.04 -235.722 136.993 0.675526 2.19425 1.74907 1626.82 -163.481 1089.6 0.235875 -0.185614 1.82941 1552.85 -163.871 570.655 1.63808 1.21767 2.33886 1607.64 -92.8325 816.7
19 0 -0.372878 1.28212 1.63717 1392.92 191.72 1298.19 -0.281194 0.0170341 2.35085 1200.22 -181.679 155.223 -0.109378 -1.72621 -0.248007 1134.72 -28.3452 971.207 0.16833 -0.437267 1.8753 1223.49 -47.0055 570.962 -0.868321 0.0112348 -0.0403892 1271.47 -6.68712 788.046 -0.201999 0.318521 1.95647 1309.33 -341.35 1069.15 -0.347689 0.63031 1.92498 1375.83 -128.593 926.417 0.25977 -0.0559815 1.46462 1549.28 -235.964 137.109 0.669365 2.18746 1.75014 1627.32 -163.94 1088.81 0.235899 -0.188217 1.82779 1553.72 -164.317 570.873 1.63205 1.21726 2.33715 1608.95 -93.7859 815.4
20 0 -0.374372 1.27999 1.6368 1393.65 191.529 1297.36 -0.281591 0.0159715 2.35528 1201.99 -183.357 153.992 -0.109772 -1.72711 -0.244833 1135.33 -28.6536 970.566 0.161154 -0.432672 1.87664 1224.42 -48.8389 569.812 -0.870097 0.0123614 -0.037112 1271.92 -7.27439 787.116 -0.19798 0.320496 1.95423 1309.13 -341.828 1069.03 -0.350088 0.630073 1.92354 1376.11 -129.472 926.146 0.259575 -0.0549484 1.46158 1549.57 -236.182 137.278 0.67994 2.18833 1.7497 1627.28 -164.445 1087.76 0.236534 -0.190698 1.82488 1554.66 -164.683 571.14 1.62536 1.21745 2.33529 1610.23 -94.7382 814.16
